entity_key,canonical_name,motif_key,motif_type,subtype,cooccurrence_count
person_jia_mu,賈母,motif_wind,自然,風,17
person_xiangling,香菱,motif_lotus,花木,蓮,17
person_lin_daiyu,林黛玉,motif_white,顏色,白色,16
person_xiren,襲人,motif_tears,情感身體,眼淚,16
person_shi_xiangyun,史湘雲,motif_fragrance,感官,香氣,15
person_qingwen,晴雯,motif_illness,身體,疾病,15
person_qingwen,晴雯,motif_red,顏色,紅色,15
person_zhen_shiyin,甄士隱,motif_rain,自然,雨,15
person_xue_baochai,薛寶釵,motif_gold,物象,金,15
person_xue_baochai,薛寶釵,motif_illness,身體,疾病,15
person_xiren,襲人,motif_flower,花木,泛花,15
person_jia_baoyu,賈寶玉,motif_snow,自然,雪,15
person_jia_mu,賈母,motif_book,文藝,書,15
person_jia_lian,賈璉,motif_book,文藝,書,15
person_you_shi,尤氏,motif_jade,物象,玉石,14
person_li_wan,李紈,motif_purple,顏色,紫色,14
person_li_wan,李紈,motif_tears,情感身體,眼淚,14
person_wang_furen,王夫人,motif_book,文藝,書,14
person_wang_furen,王夫人,motif_wine,飲食,酒,14
person_wang_xifeng,王熙鳳,motif_tears,情感身體,眼淚,14
person_jia_zheng,賈政,motif_tears,情感身體,眼淚,14
person_jia_zheng,賈政,motif_tears,情感身體,哭泣,14
person_jia_lian,賈璉,motif_tears,情感身體,哭泣,14
person_xiangling,香菱,motif_medicine,身體,藥,14
person_ping_er,平兒,motif_red,顏色,紅色,13
person_wang_furen,王夫人,motif_fragrance,感官,香氣,13
person_wang_xifeng,王熙鳳,motif_flower,花木,泛花,13
person_wang_xifeng,王熙鳳,motif_fragrance,感官,香氣,13
person_zijuan,紫鵑,motif_tears,情感身體,眼淚,13
person_xiren,襲人,motif_book,文藝,書,13
person_xiren,襲人,motif_illness,身體,疾病,13
person_jia_zhen,賈珍,motif_jade,物象,玉石,13
person_ying_er,鶯兒,motif_tea,飲食,茶,13
person_shi_xiangyun,史湘雲,motif_wine,飲食,酒,12
person_ping_er,平兒,motif_wine,飲食,酒,12
person_lin_daiyu,林黛玉,motif_dream,夢幻,夢,12
person_lin_daiyu,林黛玉,motif_moon,自然,月,12
person_lin_daiyu,林黛玉,motif_wind,自然,風,12
person_wang_furen,王夫人,motif_red,顏色,紅色,12
person_wang_xifeng,王熙鳳,motif_purple,顏色,紫色,12
person_wang_xifeng,王熙鳳,motif_wind,自然,風,12
person_xue_yima,薛姨媽,motif_gold,物象,金,12
person_xue_baochai,薛寶釵,motif_flower,花木,泛花,12
person_jia_yuanchun,賈元春,motif_jade,物象,玉石,12
person_jia_baoyu,賈寶玉,motif_song_drama,文藝,曲,12
person_jia_tanchun,賈探春,motif_book,文藝,書,12
person_jia_zheng,賈政,motif_illness,身體,疾病,12
person_xiangling,香菱,motif_flower,花木,泛花,12
person_xiangling,香菱,motif_poetry,文藝,詩,12
person_yuanyang,鴛鴦,motif_tears,情感身體,哭泣,12
person_siqi,司棋,motif_tears,情感身體,哭泣,11
person_li_wan,李紈,motif_fragrance,感官,香氣,11
person_lin_daiyu,林黛玉,motif_medicine,身體,藥,11
person_lin_daiyu,林黛玉,motif_tea,飲食,茶,11
person_xue_yima,薛姨媽,motif_tears,情感身體,眼淚,11
person_xue_yima,薛姨媽,motif_wine,飲食,酒,11
person_jia_zhen,賈珍,motif_wine,飲食,酒,11
person_she_yue,麝月,motif_tea,飲食,茶,11
person_shi_xiangyun,史湘雲,motif_flower,花木,泛花,10
person_you_shi,尤氏,motif_wine,飲食,酒,10
person_ping_er,平兒,motif_fragrance,感官,香氣,10
person_lin_daiyu,林黛玉,motif_gold,物象,金,10
person_lin_daiyu,林黛玉,motif_wine,飲食,酒,10
person_wang_furen,王夫人,motif_purple,顏色,紫色,10
person_wang_xifeng,王熙鳳,motif_medicine,身體,藥,10
person_zijuan,紫鵑,motif_book,文藝,書,10
person_xue_baochai,薛寶釵,motif_moon,自然,月,10
person_xue_baochai,薛寶釵,motif_poetry,文藝,詩,10
person_xue_baochai,薛寶釵,motif_wine,飲食,酒,10
person_xiren,襲人,motif_fragrance,感官,香氣,10
person_xiren,襲人,motif_white,顏色,白色,10
person_jia_baoyu,賈寶玉,motif_green_blue,顏色,青色,10
person_jia_zheng,賈政,motif_wine,飲食,酒,10
person_jia_lian,賈璉,motif_wine,飲食,酒,10
person_jia_yucun,賈雨村,motif_book,文藝,書,10
person_liu_laolao,劉姥姥,motif_jade,物象,玉石,9
person_miaoyu,妙玉,motif_tea,飲食,茶,9
person_ping_er,平兒,motif_flower,花木,泛花,9
person_wang_furen,王夫人,motif_medicine,身體,藥,9
person_wang_xifeng,王熙鳳,motif_white,顏色,白色,9
person_zijuan,紫鵑,motif_illness,身體,疾病,9
person_zijuan,紫鵑,motif_tea,飲食,茶,9
person_zijuan,紫鵑,motif_white,顏色,白色,9
person_jia_baoyu,賈寶玉,motif_green,顏色,綠色,9
person_xueyan,雪雁,motif_book,文藝,書,9
person_shi_xiangyun,史湘雲,motif_poetry,文藝,詩,8
person_you_shi,尤氏,motif_red,顏色,紅色,8
