entity_key,canonical_name,motif_key,motif_type,subtype,cooccurrence_count
person_jia_yingchun,賈迎春,motif_willow,花木,柳,3
person_jia_yingchun,賈迎春,motif_wine,飲食,酒,3
person_jia_yucun,賈雨村,motif_gold,物象,金,3
person_jia_yucun,賈雨村,motif_wine,飲食,酒,3
person_lai_da,賴大,motif_jade,物象,玉石,3
person_zhao_yiniang,趙姨娘,motif_tears,情感身體,哭泣,3
person_jinchuan,金釧,motif_fragrance,感官,香氣,3
person_jinchuan,金釧,motif_snow,自然,雪,3
person_jinchuan,金釧,motif_tears,情感身體,哭泣,3
person_xueyan,雪雁,motif_fragrance,感官,香氣,3
person_xiangling,香菱,motif_purple,顏色,紫色,3
person_xiangling,香菱,motif_stone,物象,石,3
person_yuanyang,鴛鴦,motif_green,顏色,綠色,3
person_yuanyang,鴛鴦,motif_moon,自然,月,3
person_ying_er,鶯兒,motif_snow,自然,雪,3
person_ying_er,鶯兒,motif_wine,飲食,酒,3
person_she_yue,麝月,motif_gold,物象,金,3
person_she_yue,麝月,motif_tears,情感身體,哭泣,3
person_ruhua,入畫,motif_gold,物象,金,2
person_ruhua,入畫,motif_moon,自然,月,2
person_liu_laolao,劉姥姥,motif_red,顏色,紅色,2
person_shi_xiangyun,史湘雲,motif_dream,夢幻,夢,2
person_shi_xiangyun,史湘雲,motif_green_blue,顏色,青色,2
person_shi_xiangyun,史湘雲,motif_snow,自然,雪,2
person_shi_xiangyun,史湘雲,motif_tears,情感身體,哭泣,2
person_shi_xiangyun,史湘雲,motif_willow,花木,柳,2
person_siqi,司棋,motif_flower,花木,泛花,2
person_siqi,司棋,motif_illness,身體,疾病,2
person_siqi,司棋,motif_lotus,花木,蓮,2
person_siqi,司棋,motif_moon,自然,月,2
person_siqi,司棋,motif_tea,飲食,茶,2
person_siqi,司棋,motif_wind,自然,風,2
person_zhou_rui_jia,周瑞家的,motif_fragrance,感官,香氣,2
person_zhou_rui_jia,周瑞家的,motif_rain,自然,雨,2
person_zhou_rui_jia,周瑞家的,motif_tears,情感身體,哭泣,2
person_zhou_rui_jia,周瑞家的,motif_white,顏色,白色,2
person_miaoyu,妙玉,motif_gold,物象,金,2
person_miaoyu,妙玉,motif_green_blue,顏色,青色,2
person_miaoyu,妙玉,motif_moon,自然,月,2
person_miaoyu,妙玉,motif_plum_blossom,花木,梅花,2
person_you_sanjie,尤三姐,motif_jade,物象,玉石,2
person_you_sanjie,尤三姐,motif_wine,飲食,酒,2
